,id,lang,text,negative,positive,neutral
177,1623281692965478400,EN,"RT @psychopathicgay: Reverse your decision!! @netflix 

NETFLIX BRING BACK OCS
#SaveWarriorNun #WarriorNun https://t.co/nk7x7WBq3m",-1,2,1
179,1623281667195674625,EN,"RT @netflix: If it's been a minute since you last watched Emma Stone and Ryan Gosling dazzle in La La Land, the magical movie musical is no…",-1,1,0
180,1623281666889502722,EN,"RT @netflix: Together we will find everything that we're looking for!

ONE PIECE premieres 2023 https://t.co/GF5T278iTx",-1,2,1
181,1623281655283605512,EN,@netflix You see? GIVE US BACK THAT WEVERSE LIVE AND THANK HIS CHARITABLE SOUL FOR PROMOTING YOUR PLATFORM FOR FREE. https://t.co/012ioFXoH3,-1,2,1
182,1623281649013395456,EN,"RT @netflix: New Physical: 100 episodes just dropped ... but mentally, I'm still here https://t.co/WDUr45oZ04",-1,1,0
183,1623281646920404992,EN,RT @netflix: Four photos to remind you that Narcos = 30 episodes of Pedro Pascal https://t.co/MPLyGnw3rd,-1,1,0
184,1623281634442203136,EN,"Have you seen @pamelaanderson’s documentary #PamelaALoveStory ❤️ on @Netflix yet? 🎥 ⁣The documentary seems to finally put #Pamela in charge of the narrative of her own life, with her son Brandon working as one of the producers of the project.. https://t.co/mbyEZBnpn2",-2,1,-1
185,1623281610824232960,EN,RT @JamesThompsonKS: Maybe @hbomax should pick up #WarriorNun and then it can have the #1 &amp; #2 most popular titles on Twitter. Or maybe @Pr…,-1,1,0
186,1623281610484510721,EN,"RT @netflix: Together we will find everything that we're looking for!

ONE PIECE premieres 2023 https://t.co/GF5T278iTx",-1,2,1
187,1623281607238127618,EN,@lavenderghostco @NetflixUK @netflix CRYING RN 😭😭 my babies https://t.co/ODIilYVXcj,-4,2,-1
188,1623281603098341376,EN,"RT @cewcharm: Since #TrueBeauty hasn't released on @netflix in the US, might as well watch another amazing drama! #MyIDIsGangnamBeauty

#CH…",-1,4,1
189,1623281600468508672,EN,"RT @sheesh_eesh3: We are waiting @netflix 
NETFLIX BRING BACK OCS 
#SaveWarriorNun #WarriorNun https://t.co/iCyP5v7uft",-1,2,1
190,1623281589286469632,EN,RT @iamrahman_offl: 2023 First Blockbuster #Thunivu Gets Screening from Tonight 12:00 onwards from Silver screens to your Home TV Screens..…,-1,1,0
191,1623281557308948480,EN,RT @AshokSuryaOff03: Let’s enjoy #Thunivu on @netflix 🤝🙂 and let’s anticipate #Ak62 announcement. #LetsRace,-1,3,1
192,1623281538220654593,EN,"RT @Azoria_J: @netflix I'm mentally still there, dust collecting on my pinned-up hair
#save1899 
https://t.co/b2M5JWmShK",-1,2,1
193,1623281518679576578,EN,"RT @ihateeatingrice: Hey @netflix you've got mail!!
We Malaysians are kinda a bit lambat to respond, but it's ""better late than never"". Sam…",-1,3,1
194,1623281508327780353,EN,"RT @rameshlaus: The King is ruling the jungle..

#AK 's #Thunivu is now playing on @netflix https://t.co/ysxNGH2bQi",-1,2,1
195,1623281491898773504,EN,RT @Appinventiv: @AndrewinContact @ingliguori @Ym78200 @TheAdityaPatro @GersonRolim @AI_Advice @EduardoValenteI Being in #market for over #…,-1,1,0
196,1623281482163789824,EN,"RT @ChrisFitzgibbo7: @drewexmachina @netflix It was amazing!!! Gonna do it again next week! We MUST get more!!

#1899Netflix 
#save1899",-1,4,1
197,1623281476149059585,EN,@GlamuzinaJack @allquietmovie @netflix In english?,-1,1,0
198,1623281438685822977,EN,RT @RestoreSnyder: 318 days until #RebelMoon releases on @netflix https://t.co/dYgD8WBYxQ,-2,1,-1
202,1623281335933538306,EN,"RT @WnSavior: To throw fuel on the @netflix fire, The Order data team expands the promo story. Because of our love for Uncle Simon and good…",-1,3,1
204,1623281298352803841,EN,"RT @psychopathicgay: Keep tweeting, sexy nuns!! @netflix

NETFLIX BRING BACK OCS
#SaveWarriorNun #WarriorNun https://t.co/mRHYOULOUl",-1,4,1
205,1623281297732022272,EN,RT @netflix: Love is sharing a password.,-1,3,1
206,1623281294904901632,EN,@katenash @netflix So disappointed I didn't get to see this show get it's final season. 😭🥰 I loved it.,-2,4,1
207,1623281286956855297,EN,"RT @rameshlaus: The King is ruling the jungle..

#AK 's #Thunivu is now playing on @netflix https://t.co/ysxNGH2bQi",-1,2,1
208,1623281262134984705,EN,"@AlexeiRomanov13 @MessyBoots2B @AnastasiaRoya20 @SpringBrad1 @HackneyBlack @Elliesmith1201 @TheFakeDuchess @BeeWilde2 @Planet654321 @ZacksGirl3 @MeAfter4 @aileenkelly40 @IzzWiz @lewebley1 @scammingduchess @Kaz70949137 @Debbie64298029 @panto12 @YouTube @sweetpetesmom @HomerElle @BaalambL @bettedavisthizz @DoriaRagland @netflix @princeharry @GBNEWS @looselips @Knesix @richardaeden @angelalevin1 @DailyMailUK @HaroldOfSussex @RoyalFamily @BBCNews @KensingtonRoyal @Telegraph @shamimabegum @joshbakerstory @BBCSounds @sarahconnor @mrmarkdolan @JustinWelby @churchofengland @SamanthaMarkle Maybe they will come up with excuse why they have to defer court, they have done that.",-1,1,0
209,1623281238692724736,EN,@SienaAgudong @NetflixGeeked @netflix but it started again,-1,1,0
211,1623281179460861954,EN,"RT @Kara_Di: BRING THESE BADASS WOMEN BACK @netflix 

We're on the way to 10,000,000 tweets. Let's keep spreading! 

NETFLIX BRING BACK OCS…",-1,2,1
213,1623281148188041216,EN,"@brrsted @SQW103 @allquietmovie @netflix I don't see the point of that. The public don't vote for Oscars.
These adverts make me want to see the film because they show me what care has gone into re-creating the experience. I mean, I know most decent films do that, but what is advertising if not a repeated reminder?",-1,2,1
214,1623281140915404801,EN,"RT @awaraashamx: It's the time to renew my family @netflix 
#LockwoodandCo https://t.co/YBspCwB2Pv",-1,1,0
215,1623281137018712065,EN,"RT @sheesh_eesh3: We are waiting @netflix 
NETFLIX BRING BACK OCS 
#SaveWarriorNun #WarriorNun https://t.co/iCyP5v7uft",-1,2,1
216,1623281039509491712,EN,"RT @LucelSargent: We will keep fighting.. You want war? WE GIVE YOU WAR !! 🔥💪🖤⚔️ @netflix 
#WarriorNun  #SaveWarriorNun 
NETFLIX BRING BACK…",-4,2,-1
217,1623281037630472193,EN,@linn2000_ @BatfleckMovie @JoeManganiello @netflix Damn. Man’s cooked.,-2,1,-1
